"ITEM","RESULT","VALUE","CRITERIA","COMMENT"
"BootToKernel","PASS","PASS","PASS",""
"BootToKernel-PCIE","PASS","PASS","PASS",""
"ChkClock","FAIL","PASS","","no criteria"
"ChkFPGA-HDMI1","FAIL","PASS","","no criteria"
"ChkFPGA-HDMI2","FAIL","PASS","","no criteria"
"ChkFPGA-OneWire","FAIL","PASS","","no criteria"
"ChkFPGA-discover","FAIL","PASS","","no criteria"
"ChkFPGA-emmc","FAIL","PASS","","no criteria"
"ChkFPGA-pcie","FAIL","PASS","","no criteria"
"ChkFPGA-qspi","FAIL","PASS","","no criteria"
"ChkLMH1219","FAIL","1d","","no criteria"
"ChkSi5340","FAIL","77","","no criteria"
"ChkVBTMP108_0","FAIL","49","","no criteria"
"ChkVBTMP108_1","FAIL","4a","","no criteria"
"ChkVBTMP108_2","FAIL","4b","","no criteria"
"HDMI1","FAIL","PASS","","no criteria"
"HDMI2","FAIL","PASS","","no criteria"
"PCIE_test_Reboot","PASS","NOW","NOW",""
"PCIE_test_Result","PASS","PASS","PASS",""
"SDI","FAIL","PASS","","no criteria"
